id_servicio,titulo,descripcion,habilidades_requeridas,fecha_publicacion,estado
8461,Enfermero auxiliar,"Trabajo temporal relacionado con diseño gráfico, carpintería, html.","Diseño gráfico, Carpintería, HTML",2024-11-12,Cerrado
8462,Programador Python,"Se busca profesional con experiencia en contabilidad, photoshop, instalaciones eléctricas, atención al cliente.","Contabilidad, Photoshop, Instalaciones eléctricas, Atención al cliente",2024-10-31,Abierto
8463,Repartidor,"Se requiere conocimiento en terapia física, carpintería, instalaciones eléctricas.","Terapia Física, Carpintería, Instalaciones eléctricas",2024-12-19,Cerrado
8464,Desarrollador web,"Importante empresa solicita apoyo en el área de diseño ux/ui, css.","Diseño UX/UI, CSS",2025-01-12,Abierto
8465,Community manager,"Se busca profesional con experiencia en ventas, soporte técnico, marketing digital, redacción.","Ventas, Soporte técnico, Marketing digital, Redacción",2024-12-23,Abierto
8466,Desarrollador web,"Se busca profesional con experiencia en soporte técnico, contabilidad.","Soporte técnico, Contabilidad",2024-11-05,Abierto
8467,Editor de video,"Importante empresa solicita apoyo en el área de diseño gráfico, electricidad, inglés avanzado, python.","Diseño gráfico, Electricidad, Inglés avanzado, Python",2025-02-04,Cerrado
8468,Desarrollador web,"Trabajo temporal relacionado con instalaciones eléctricas, programación en java, soporte técnico, diseño gráfico.","Instalaciones eléctricas, Programación en Java, Soporte técnico, Diseño gráfico",2024-12-17,Cerrado
8469,Electricista,"Trabajo temporal relacionado con html, redacción.","HTML, Redacción",2024-12-23,Cerrado
8470,Psicólogo educativo,"Trabajo temporal relacionado con javascript, electricidad, marketing digital, html.","JavaScript, Electricidad, Marketing digital, HTML",2025-03-30,Abierto
8471,Asistente administrativo,"Trabajo temporal relacionado con programación en java, ciencia de datos, electricidad, soporte técnico.","Programación en Java, Ciencia de datos, Electricidad, Soporte técnico",2025-03-01,Abierto
8472,Enfermero auxiliar,"Importante empresa solicita apoyo en el área de redacción, photoshop, diseño ux/ui, electricidad.","Redacción, Photoshop, Diseño UX/UI, Electricidad",2025-01-09,Abierto
8473,Electricista,"Importante empresa solicita apoyo en el área de mecánica automotriz, redacción.","Mecánica automotriz, Redacción",2025-01-24,Abierto
8474,Maestro de matemáticas,"Se busca profesional con experiencia en marketing digital, instalaciones eléctricas.","Marketing digital, Instalaciones eléctricas",2024-11-22,Cerrado
8475,Psicólogo educativo,"Colaboración independiente para tareas de electricidad, marketing digital.","Electricidad, Marketing digital",2024-11-17,Cerrado
8476,Redactor de contenido,"Se busca profesional con experiencia en administración, servicio al cliente, html, traducción.","Administración, Servicio al cliente, HTML, Traducción",2025-03-08,Cerrado
8477,Asistente administrativo,"Se requiere conocimiento en terapia física, instalaciones eléctricas, marketing digital, electricidad.","Terapia Física, Instalaciones eléctricas, Marketing digital, Electricidad",2025-01-10,Abierto
8478,Mecánico automotriz,"Trabajo temporal relacionado con mecánica automotriz, ventas, contabilidad.","Mecánica automotriz, Ventas, Contabilidad",2025-04-06,Abierto
8479,Repartidor,"Importante empresa solicita apoyo en el área de servicio al cliente, tramitología, terapia física.","Servicio al cliente, Tramitología, Terapia Física",2025-01-05,Cerrado
8480,Community manager,"Importante empresa solicita apoyo en el área de carpintería, contabilidad, instalaciones eléctricas, diseño gráfico.","Carpintería, Contabilidad, Instalaciones eléctricas, Diseño gráfico",2025-04-12,Abierto
8481,Asistente administrativo,"Importante empresa solicita apoyo en el área de administración, seo.","Administración, SEO",2025-02-04,Cerrado
8482,Programador Python,"Trabajo temporal relacionado con diseño ux/ui, tramitología, inglés avanzado.","Diseño UX/UI, Tramitología, Inglés avanzado",2024-11-15,Abierto
8483,Mecánico automotriz,"Importante empresa solicita apoyo en el área de inglés avanzado, electricidad.","Inglés avanzado, Electricidad",2025-04-16,Abierto
8484,Cocinero,"Trabajo temporal relacionado con python, servicio al cliente.","Python, Servicio al cliente",2024-12-14,Cerrado
8485,Instalador eléctrico,"Se busca profesional con experiencia en marketing digital, diseño gráfico, illustrator.","Marketing digital, Diseño gráfico, Illustrator",2024-11-27,Cerrado
8486,Desarrollador web,"Se busca profesional con experiencia en diseño ux/ui, tramitología, html, contabilidad.","Diseño UX/UI, Tramitología, HTML, Contabilidad",2025-02-03,Abierto
8487,Cocinero,"Importante empresa solicita apoyo en el área de python, diseño ux/ui, terapia física.","Python, Diseño UX/UI, Terapia Física",2025-03-22,Cerrado
8488,Redactor de contenido,"Importante empresa solicita apoyo en el área de atención al cliente, marketing digital, photoshop, diseño gráfico.","Atención al cliente, Marketing digital, Photoshop, Diseño gráfico",2024-11-17,Abierto
8489,Especialista en SEO,"Colaboración independiente para tareas de redacción, terapia física.","Redacción, Terapia Física",2025-03-26,Abierto
8490,Mecánico automotriz,"Trabajo temporal relacionado con html, electricidad, traducción, illustrator.","HTML, Electricidad, Traducción, Illustrator",2025-04-16,Cerrado
8491,Redactor de contenido,"Se requiere conocimiento en css, python, photoshop.","CSS, Python, Photoshop",2025-03-25,Abierto
8492,Especialista en SEO,"Trabajo temporal relacionado con programación en java, html, ciencia de datos.","Programación en Java, HTML, Ciencia de datos",2024-11-17,Cerrado
8493,Diseñador industrial,"Importante empresa solicita apoyo en el área de carpintería, ventas, tramitología, seo.","Carpintería, Ventas, Tramitología, SEO",2025-02-01,Cerrado
8494,Diseñador industrial,"Trabajo temporal relacionado con programación en java, inglés avanzado.","Programación en Java, Inglés avanzado",2024-11-21,Cerrado
8495,Instalador eléctrico,"Se requiere conocimiento en ventas, redacción, atención al cliente.","Ventas, Redacción, Atención al cliente",2024-11-19,Abierto
8496,Mecánico automotriz,"Trabajo temporal relacionado con diseño gráfico, soporte técnico.","Diseño gráfico, Soporte técnico",2025-04-19,Abierto
8497,Barista,"Colaboración independiente para tareas de ciencia de datos, servicio al cliente, diseño ux/ui, contabilidad.","Ciencia de datos, Servicio al cliente, Diseño UX/UI, Contabilidad",2024-11-04,Cerrado
8498,Psicólogo educativo,"Se busca profesional con experiencia en soporte técnico, html, diseño ux/ui.","Soporte técnico, HTML, Diseño UX/UI",2025-02-28,Abierto
8499,Asistente administrativo,"Colaboración independiente para tareas de soporte técnico, administración.","Soporte técnico, Administración",2024-11-26,Cerrado
8500,Instalador eléctrico,"Se busca profesional con experiencia en diseño gráfico, mecánica automotriz, ventas.","Diseño gráfico, Mecánica automotriz, Ventas",2025-01-08,Cerrado
8501,Programador Python,"Colaboración independiente para tareas de python, traducción.","Python, Traducción",2025-01-20,Abierto
8502,Maestro de matemáticas,"Se busca profesional con experiencia en atención al cliente, seo, carpintería.","Atención al cliente, SEO, Carpintería",2025-02-20,Cerrado
8503,Enfermero auxiliar,"Importante empresa solicita apoyo en el área de marketing digital, illustrator, soporte técnico, css.","Marketing digital, Illustrator, Soporte técnico, CSS",2024-12-07,Abierto
8504,Diseñador gráfico,"Se requiere conocimiento en inglés avanzado, python, terapia física.","Inglés avanzado, Python, Terapia Física",2024-10-28,Cerrado
8505,Asistente administrativo,"Colaboración independiente para tareas de programación en java, illustrator, diseño gráfico.","Programación en Java, Illustrator, Diseño gráfico",2024-11-30,Cerrado
8506,Traductor,"Se requiere conocimiento en diseño gráfico, instalaciones eléctricas, html, terapia física.","Diseño gráfico, Instalaciones eléctricas, HTML, Terapia Física",2024-12-29,Abierto
8507,Diseñador UX/UI,"Colaboración independiente para tareas de electricidad, seo.","Electricidad, SEO",2025-02-21,Abierto
8508,Fotógrafo,"Se requiere conocimiento en illustrator, mecánica automotriz.","Illustrator, Mecánica automotriz",2025-04-03,Cerrado
8509,Vendedor telefónico,"Trabajo temporal relacionado con photoshop, electricidad, soporte técnico, python.","Photoshop, Electricidad, Soporte técnico, Python",2024-10-27,Abierto
8510,Diseñador UX/UI,"Se requiere conocimiento en tramitología, seo, mecánica automotriz, ventas.","Tramitología, SEO, Mecánica automotriz, Ventas",2025-04-18,Abierto
8511,Especialista en SEO,"Se busca profesional con experiencia en programación en java, servicio al cliente, html.","Programación en Java, Servicio al cliente, HTML",2025-03-03,Cerrado
8512,Asistente administrativo,"Se requiere conocimiento en ciencia de datos, python, redacción.","Ciencia de datos, Python, Redacción",2025-04-03,Cerrado
8513,Mecánico automotriz,"Colaboración independiente para tareas de mecánica automotriz, redacción, electricidad, diseño gráfico.","Mecánica automotriz, Redacción, Electricidad, Diseño gráfico",2025-02-06,Abierto
8514,Técnico en soporte,"Trabajo temporal relacionado con atención al cliente, diseño gráfico, soporte técnico.","Atención al cliente, Diseño gráfico, Soporte técnico",2025-02-05,Cerrado
8515,Asistente administrativo,"Colaboración independiente para tareas de carpintería, ciencia de datos, traducción.","Carpintería, Ciencia de datos, Traducción",2025-02-26,Abierto
8516,Electricista,"Se requiere conocimiento en servicio al cliente, javascript, contabilidad.","Servicio al cliente, JavaScript, Contabilidad",2024-11-26,Abierto
8517,Community manager,"Colaboración independiente para tareas de diseño gráfico, mecánica automotriz.","Diseño gráfico, Mecánica automotriz",2025-03-28,Abierto
8518,Técnico en soporte,"Trabajo temporal relacionado con atención al cliente, html, javascript, mecánica automotriz.","Atención al cliente, HTML, JavaScript, Mecánica automotriz",2025-03-08,Cerrado
8519,Instalador eléctrico,"Trabajo temporal relacionado con diseño gráfico, programación en java.","Diseño gráfico, Programación en Java",2025-01-10,Cerrado
8520,Fotógrafo,"Importante empresa solicita apoyo en el área de photoshop, javascript, diseño ux/ui, tramitología.","Photoshop, JavaScript, Diseño UX/UI, Tramitología",2024-12-27,Abierto
8521,Enfermero auxiliar,"Se busca profesional con experiencia en css, contabilidad.","CSS, Contabilidad",2025-01-28,Abierto
8522,Mecánico automotriz,"Se requiere conocimiento en python, servicio al cliente.","Python, Servicio al cliente",2025-01-26,Cerrado
8523,Terapista físico,"Colaboración independiente para tareas de html, diseño gráfico, seo.","HTML, Diseño gráfico, SEO",2025-02-09,Cerrado
8524,Auxiliar contable,"Trabajo temporal relacionado con tramitología, traducción, atención al cliente.","Tramitología, Traducción, Atención al cliente",2024-12-28,Abierto
8525,Cocinero,"Se busca profesional con experiencia en carpintería, diseño ux/ui, instalaciones eléctricas.","Carpintería, Diseño UX/UI, Instalaciones eléctricas",2025-03-19,Abierto
8526,Traductor,"Se busca profesional con experiencia en administración, mecánica automotriz, diseño ux/ui, tramitología.","Administración, Mecánica automotriz, Diseño UX/UI, Tramitología",2025-02-24,Cerrado
8527,Enfermero auxiliar,"Se busca profesional con experiencia en administración, terapia física.","Administración, Terapia Física",2025-04-24,Abierto
8528,Profesor de inglés,"Se requiere conocimiento en instalaciones eléctricas, contabilidad, ciencia de datos.","Instalaciones eléctricas, Contabilidad, Ciencia de datos",2024-11-11,Abierto
8529,Enfermero auxiliar,"Colaboración independiente para tareas de administración, illustrator, carpintería, javascript.","Administración, Illustrator, Carpintería, JavaScript",2025-01-11,Abierto
8530,Asistente administrativo,"Importante empresa solicita apoyo en el área de carpintería, redacción, administración, programación en java.","Carpintería, Redacción, Administración, Programación en Java",2024-11-29,Cerrado
8531,Repartidor,"Se busca profesional con experiencia en seo, illustrator, contabilidad, ciencia de datos.","SEO, Illustrator, Contabilidad, Ciencia de datos",2024-11-12,Cerrado
8532,Traductor,"Colaboración independiente para tareas de diseño ux/ui, python, carpintería.","Diseño UX/UI, Python, Carpintería",2025-02-20,Cerrado
8533,Vendedor telefónico,"Trabajo temporal relacionado con tramitología, terapia física, servicio al cliente, atención al cliente.","Tramitología, Terapia Física, Servicio al cliente, Atención al cliente",2024-11-15,Abierto
8534,Desarrollador web,"Importante empresa solicita apoyo en el área de soporte técnico, instalaciones eléctricas, electricidad.","Soporte técnico, Instalaciones eléctricas, Electricidad",2025-01-09,Abierto
8535,Psicólogo educativo,"Se busca profesional con experiencia en diseño ux/ui, instalaciones eléctricas, servicio al cliente.","Diseño UX/UI, Instalaciones eléctricas, Servicio al cliente",2025-02-04,Cerrado
8536,Vendedor telefónico,"Se busca profesional con experiencia en administración, css.","Administración, CSS",2025-01-23,Abierto
8537,Electricista,"Trabajo temporal relacionado con redacción, servicio al cliente.","Redacción, Servicio al cliente",2025-01-24,Abierto
8538,Psicólogo educativo,"Se requiere conocimiento en mecánica automotriz, css, administración.","Mecánica automotriz, CSS, Administración",2025-02-09,Cerrado
8539,Diseñador UX/UI,"Importante empresa solicita apoyo en el área de ventas, tramitología, instalaciones eléctricas, ciencia de datos.","Ventas, Tramitología, Instalaciones eléctricas, Ciencia de datos",2024-11-23,Cerrado
8540,Instalador eléctrico,"Colaboración independiente para tareas de servicio al cliente, programación en java, marketing digital, javascript.","Servicio al cliente, Programación en Java, Marketing digital, JavaScript",2025-02-09,Cerrado
8541,Editor de video,"Se requiere conocimiento en marketing digital, administración.","Marketing digital, Administración",2025-03-20,Cerrado
8542,Instalador eléctrico,"Colaboración independiente para tareas de electricidad, inglés avanzado, marketing digital.","Electricidad, Inglés avanzado, Marketing digital",2025-04-21,Cerrado
8543,Fotógrafo,"Se requiere conocimiento en tramitología, soporte técnico, illustrator.","Tramitología, Soporte técnico, Illustrator",2025-04-02,Abierto
8544,Mecánico automotriz,"Se requiere conocimiento en servicio al cliente, terapia física, electricidad, traducción.","Servicio al cliente, Terapia Física, Electricidad, Traducción",2024-12-15,Cerrado
8545,Psicólogo educativo,"Se requiere conocimiento en tramitología, javascript, ciencia de datos, administración.","Tramitología, JavaScript, Ciencia de datos, Administración",2025-02-18,Cerrado
8546,Técnico en soporte,"Importante empresa solicita apoyo en el área de traducción, soporte técnico.","Traducción, Soporte técnico",2025-01-08,Abierto
8547,Redactor de contenido,"Trabajo temporal relacionado con javascript, html, marketing digital, redacción.","JavaScript, HTML, Marketing digital, Redacción",2025-02-20,Cerrado
8548,Barista,"Se requiere conocimiento en python, terapia física, contabilidad, administración.","Python, Terapia Física, Contabilidad, Administración",2025-03-08,Cerrado
8549,Maestro de matemáticas,"Importante empresa solicita apoyo en el área de diseño gráfico, carpintería.","Diseño gráfico, Carpintería",2025-04-15,Cerrado
8550,Cocinero,"Colaboración independiente para tareas de contabilidad, css.","Contabilidad, CSS",2025-01-22,Abierto
8551,Diseñador UX/UI,"Se busca profesional con experiencia en instalaciones eléctricas, redacción.","Instalaciones eléctricas, Redacción",2025-01-05,Cerrado
8552,Editor de video,"Trabajo temporal relacionado con atención al cliente, diseño ux/ui, diseño gráfico, redacción.","Atención al cliente, Diseño UX/UI, Diseño gráfico, Redacción",2025-04-15,Cerrado
8553,Repartidor,"Trabajo temporal relacionado con ciencia de datos, tramitología, programación en java.","Ciencia de datos, Tramitología, Programación en Java",2025-01-19,Abierto
8554,Barista,"Trabajo temporal relacionado con mecánica automotriz, electricidad, illustrator.","Mecánica automotriz, Electricidad, Illustrator",2025-03-09,Cerrado
8555,Fotógrafo,"Se busca profesional con experiencia en javascript, programación en java.","JavaScript, Programación en Java",2025-02-25,Abierto
8556,Diseñador gráfico,"Se requiere conocimiento en seo, ventas, atención al cliente.","SEO, Ventas, Atención al cliente",2024-12-07,Cerrado
8557,Redactor de contenido,"Se requiere conocimiento en ciencia de datos, diseño ux/ui, inglés avanzado, carpintería.","Ciencia de datos, Diseño UX/UI, Inglés avanzado, Carpintería",2025-03-02,Cerrado
8558,Profesor de inglés,"Se busca profesional con experiencia en traducción, seo.","Traducción, SEO",2025-01-10,Cerrado
8559,Cocinero,"Se requiere conocimiento en css, ventas, servicio al cliente.","CSS, Ventas, Servicio al cliente",2025-03-19,Cerrado
8560,Mecánico automotriz,"Se requiere conocimiento en tramitología, administración.","Tramitología, Administración",2024-12-03,Abierto
8561,Programador Python,"Colaboración independiente para tareas de servicio al cliente, photoshop, illustrator.","Servicio al cliente, Photoshop, Illustrator",2025-01-11,Abierto
8562,Traductor,"Se busca profesional con experiencia en instalaciones eléctricas, traducción, administración, carpintería.","Instalaciones eléctricas, Traducción, Administración, Carpintería",2025-04-01,Abierto
8563,Mecánico automotriz,"Colaboración independiente para tareas de electricidad, terapia física, tramitología.","Electricidad, Terapia Física, Tramitología",2024-11-02,Cerrado
8564,Repartidor,"Colaboración independiente para tareas de diseño gráfico, ciencia de datos, atención al cliente.","Diseño gráfico, Ciencia de datos, Atención al cliente",2024-11-13,Abierto
8565,Editor de video,"Trabajo temporal relacionado con illustrator, tramitología.","Illustrator, Tramitología",2025-01-07,Cerrado
8566,Psicólogo educativo,"Importante empresa solicita apoyo en el área de redacción, tramitología.","Redacción, Tramitología",2025-02-23,Abierto
8567,Profesor de inglés,"Trabajo temporal relacionado con marketing digital, programación en java.","Marketing digital, Programación en Java",2025-03-21,Abierto
8568,Enfermero auxiliar,"Colaboración independiente para tareas de administración, contabilidad.","Administración, Contabilidad",2025-02-04,Abierto
8569,Enfermero auxiliar,"Se busca profesional con experiencia en mecánica automotriz, atención al cliente, seo.","Mecánica automotriz, Atención al cliente, SEO",2025-02-11,Abierto
8570,Diseñador industrial,"Se busca profesional con experiencia en python, illustrator, servicio al cliente.","Python, Illustrator, Servicio al cliente",2025-01-03,Abierto
8571,Diseñador UX/UI,"Colaboración independiente para tareas de html, tramitología, redacción.","HTML, Tramitología, Redacción",2025-03-17,Abierto
8572,Psicólogo educativo,"Se requiere conocimiento en traducción, seo.","Traducción, SEO",2025-02-08,Abierto
8573,Técnico en soporte,"Importante empresa solicita apoyo en el área de administración, instalaciones eléctricas.","Administración, Instalaciones eléctricas",2025-02-19,Cerrado
8574,Auxiliar contable,"Se busca profesional con experiencia en instalaciones eléctricas, tramitología.","Instalaciones eléctricas, Tramitología",2025-02-22,Abierto
8575,Maestro de matemáticas,"Colaboración independiente para tareas de inglés avanzado, servicio al cliente, instalaciones eléctricas.","Inglés avanzado, Servicio al cliente, Instalaciones eléctricas",2024-12-21,Cerrado
8576,Community manager,"Se requiere conocimiento en administración, diseño gráfico, marketing digital.","Administración, Diseño gráfico, Marketing digital",2025-03-17,Abierto
8577,Auxiliar contable,"Importante empresa solicita apoyo en el área de python, diseño ux/ui.","Python, Diseño UX/UI",2024-12-14,Cerrado
8578,Diseñador industrial,"Colaboración independiente para tareas de diseño gráfico, seo.","Diseño gráfico, SEO",2025-02-17,Cerrado
8579,Especialista en SEO,"Se requiere conocimiento en servicio al cliente, tramitología, atención al cliente.","Servicio al cliente, Tramitología, Atención al cliente",2025-02-14,Cerrado
8580,Diseñador industrial,"Se requiere conocimiento en javascript, css, diseño gráfico.","JavaScript, CSS, Diseño gráfico",2025-02-10,Abierto
8581,Terapista físico,"Colaboración independiente para tareas de redacción, python, soporte técnico, seo.","Redacción, Python, Soporte técnico, SEO",2025-03-24,Abierto
8582,Diseñador UX/UI,"Se busca profesional con experiencia en servicio al cliente, ventas, tramitología.","Servicio al cliente, Ventas, Tramitología",2025-04-04,Cerrado
8583,Redactor de contenido,"Importante empresa solicita apoyo en el área de diseño ux/ui, illustrator, soporte técnico.","Diseño UX/UI, Illustrator, Soporte técnico",2025-04-21,Cerrado
8584,Asistente administrativo,"Se busca profesional con experiencia en inglés avanzado, ciencia de datos.","Inglés avanzado, Ciencia de datos",2024-11-30,Cerrado
8585,Traductor,"Se requiere conocimiento en traducción, servicio al cliente, carpintería.","Traducción, Servicio al cliente, Carpintería",2025-03-16,Cerrado
8586,Auxiliar contable,"Importante empresa solicita apoyo en el área de diseño gráfico, javascript, carpintería.","Diseño gráfico, JavaScript, Carpintería",2024-12-16,Abierto
8587,Desarrollador web,"Colaboración independiente para tareas de css, python, tramitología, ciencia de datos.","CSS, Python, Tramitología, Ciencia de datos",2024-11-13,Abierto
8588,Barista,"Se busca profesional con experiencia en terapia física, servicio al cliente.","Terapia Física, Servicio al cliente",2025-02-23,Cerrado
8589,Community manager,"Colaboración independiente para tareas de mecánica automotriz, ciencia de datos, javascript.","Mecánica automotriz, Ciencia de datos, JavaScript",2025-03-10,Abierto
8590,Auxiliar contable,"Se requiere conocimiento en programación en java, administración.","Programación en Java, Administración",2025-01-27,Cerrado
8591,Maestro de matemáticas,"Se requiere conocimiento en atención al cliente, diseño ux/ui.","Atención al cliente, Diseño UX/UI",2024-11-03,Cerrado
8592,Cocinero,"Se busca profesional con experiencia en atención al cliente, javascript.","Atención al cliente, JavaScript",2024-10-28,Abierto
8593,Desarrollador web,"Se busca profesional con experiencia en python, css.","Python, CSS",2024-11-11,Cerrado
8594,Diseñador industrial,"Importante empresa solicita apoyo en el área de javascript, illustrator.","JavaScript, Illustrator",2025-01-26,Abierto
8595,Diseñador gráfico,"Trabajo temporal relacionado con photoshop, css, instalaciones eléctricas.","Photoshop, CSS, Instalaciones eléctricas",2025-01-17,Abierto
8596,Programador Python,"Trabajo temporal relacionado con css, diseño gráfico, ventas, redacción.","CSS, Diseño gráfico, Ventas, Redacción",2024-12-28,Abierto
8597,Desarrollador web,"Se requiere conocimiento en marketing digital, diseño gráfico, seo.","Marketing digital, Diseño gráfico, SEO",2024-12-21,Cerrado
8598,Enfermero auxiliar,"Importante empresa solicita apoyo en el área de seo, javascript.","SEO, JavaScript",2025-02-18,Abierto
8599,Profesor de inglés,"Colaboración independiente para tareas de instalaciones eléctricas, mecánica automotriz.","Instalaciones eléctricas, Mecánica automotriz",2024-11-13,Cerrado
8600,Barista,"Trabajo temporal relacionado con javascript, traducción, ventas.","JavaScript, Traducción, Ventas",2025-01-18,Abierto
8601,Enfermero auxiliar,"Se busca profesional con experiencia en seo, ciencia de datos, tramitología, marketing digital.","SEO, Ciencia de datos, Tramitología, Marketing digital",2025-01-12,Cerrado
8602,Maestro de matemáticas,"Colaboración independiente para tareas de css, inglés avanzado, ciencia de datos.","CSS, Inglés avanzado, Ciencia de datos",2025-02-22,Abierto
8603,Diseñador industrial,"Importante empresa solicita apoyo en el área de diseño gráfico, servicio al cliente, instalaciones eléctricas, soporte técnico.","Diseño gráfico, Servicio al cliente, Instalaciones eléctricas, Soporte técnico",2025-02-20,Abierto
8604,Técnico en soporte,"Se busca profesional con experiencia en electricidad, photoshop.","Electricidad, Photoshop",2025-03-17,Abierto
8605,Enfermero auxiliar,"Trabajo temporal relacionado con diseño gráfico, soporte técnico.","Diseño gráfico, Soporte técnico",2025-02-10,Abierto
8606,Desarrollador web,"Colaboración independiente para tareas de photoshop, mecánica automotriz.","Photoshop, Mecánica automotriz",2025-04-03,Cerrado
8607,Psicólogo educativo,"Se requiere conocimiento en photoshop, css, traducción.","Photoshop, CSS, Traducción",2025-03-28,Abierto
8608,Editor de video,"Importante empresa solicita apoyo en el área de traducción, illustrator, mecánica automotriz, marketing digital.","Traducción, Illustrator, Mecánica automotriz, Marketing digital",2024-11-14,Cerrado
8609,Asistente administrativo,"Colaboración independiente para tareas de photoshop, marketing digital, atención al cliente, administración.","Photoshop, Marketing digital, Atención al cliente, Administración",2025-03-17,Abierto
8610,Diseñador gráfico,"Se requiere conocimiento en ventas, photoshop.","Ventas, Photoshop",2025-01-02,Abierto
8611,Editor de video,"Se busca profesional con experiencia en css, diseño gráfico, mecánica automotriz.","CSS, Diseño gráfico, Mecánica automotriz",2025-02-28,Cerrado
8612,Diseñador gráfico,"Colaboración independiente para tareas de inglés avanzado, atención al cliente.","Inglés avanzado, Atención al cliente",2024-11-04,Cerrado
8613,Programador Python,"Trabajo temporal relacionado con ventas, diseño gráfico, tramitología, contabilidad.","Ventas, Diseño gráfico, Tramitología, Contabilidad",2025-03-26,Cerrado
8614,Electricista,"Importante empresa solicita apoyo en el área de photoshop, traducción.","Photoshop, Traducción",2025-03-12,Abierto
8615,Profesor de inglés,"Colaboración independiente para tareas de electricidad, soporte técnico.","Electricidad, Soporte técnico",2024-12-08,Abierto
8616,Diseñador industrial,"Importante empresa solicita apoyo en el área de ventas, traducción.","Ventas, Traducción",2024-11-28,Cerrado
8617,Fotógrafo,"Se requiere conocimiento en html, redacción, instalaciones eléctricas.","HTML, Redacción, Instalaciones eléctricas",2025-04-23,Abierto
8618,Repartidor,"Colaboración independiente para tareas de python, seo, inglés avanzado.","Python, SEO, Inglés avanzado",2025-01-26,Cerrado
8619,Diseñador industrial,"Colaboración independiente para tareas de inglés avanzado, ciencia de datos, python, contabilidad.","Inglés avanzado, Ciencia de datos, Python, Contabilidad",2025-01-09,Cerrado
8620,Profesor de inglés,"Se busca profesional con experiencia en terapia física, instalaciones eléctricas, ventas, mecánica automotriz.","Terapia Física, Instalaciones eléctricas, Ventas, Mecánica automotriz",2025-02-03,Cerrado
8621,Instalador eléctrico,"Colaboración independiente para tareas de diseño gráfico, python, soporte técnico, programación en java.","Diseño gráfico, Python, Soporte técnico, Programación en Java",2025-04-05,Abierto
8622,Especialista en SEO,"Importante empresa solicita apoyo en el área de ventas, photoshop, instalaciones eléctricas.","Ventas, Photoshop, Instalaciones eléctricas",2025-01-07,Cerrado
8623,Traductor,"Trabajo temporal relacionado con photoshop, inglés avanzado, javascript, diseño ux/ui.","Photoshop, Inglés avanzado, JavaScript, Diseño UX/UI",2025-04-14,Cerrado
8624,Diseñador industrial,"Se busca profesional con experiencia en python, html.","Python, HTML",2025-01-22,Cerrado
8625,Enfermero auxiliar,"Se busca profesional con experiencia en instalaciones eléctricas, administración, python.","Instalaciones eléctricas, Administración, Python",2025-04-09,Cerrado
8626,Community manager,"Trabajo temporal relacionado con html, python, illustrator, programación en java.","HTML, Python, Illustrator, Programación en Java",2024-11-03,Cerrado
8627,Fotógrafo,"Se requiere conocimiento en carpintería, administración, electricidad.","Carpintería, Administración, Electricidad",2025-03-04,Abierto
8628,Cocinero,"Se requiere conocimiento en html, atención al cliente.","HTML, Atención al cliente",2025-01-30,Cerrado
8629,Traductor,"Se requiere conocimiento en photoshop, diseño ux/ui, javascript.","Photoshop, Diseño UX/UI, JavaScript",2024-12-12,Cerrado
8630,Enfermero auxiliar,"Trabajo temporal relacionado con administración, ventas, illustrator, contabilidad.","Administración, Ventas, Illustrator, Contabilidad",2025-03-12,Cerrado
8631,Editor de video,"Colaboración independiente para tareas de terapia física, css.","Terapia Física, CSS",2025-04-11,Abierto
8632,Repartidor,"Se busca profesional con experiencia en mecánica automotriz, traducción, tramitología, redacción.","Mecánica automotriz, Traducción, Tramitología, Redacción",2024-12-18,Cerrado
8633,Terapista físico,"Importante empresa solicita apoyo en el área de inglés avanzado, servicio al cliente.","Inglés avanzado, Servicio al cliente",2025-04-06,Cerrado
8634,Traductor,"Se requiere conocimiento en javascript, marketing digital, diseño ux/ui, instalaciones eléctricas.","JavaScript, Marketing digital, Diseño UX/UI, Instalaciones eléctricas",2025-03-07,Abierto
8635,Barista,"Colaboración independiente para tareas de inglés avanzado, contabilidad, soporte técnico.","Inglés avanzado, Contabilidad, Soporte técnico",2025-04-08,Abierto
8636,Diseñador industrial,"Trabajo temporal relacionado con inglés avanzado, diseño gráfico, terapia física.","Inglés avanzado, Diseño gráfico, Terapia Física",2024-10-29,Abierto
8637,Auxiliar contable,"Se requiere conocimiento en html, electricidad, illustrator, css.","HTML, Electricidad, Illustrator, CSS",2025-03-29,Cerrado
8638,Especialista en SEO,"Importante empresa solicita apoyo en el área de soporte técnico, servicio al cliente, seo.","Soporte técnico, Servicio al cliente, SEO",2025-03-13,Cerrado
8639,Programador Python,"Se requiere conocimiento en python, photoshop.","Python, Photoshop",2024-12-27,Cerrado
8640,Cocinero,"Trabajo temporal relacionado con html, atención al cliente, ciencia de datos.","HTML, Atención al cliente, Ciencia de datos",2024-12-21,Cerrado
8641,Especialista en SEO,"Trabajo temporal relacionado con traducción, javascript, mecánica automotriz, illustrator.","Traducción, JavaScript, Mecánica automotriz, Illustrator",2025-04-02,Cerrado
8642,Cocinero,"Trabajo temporal relacionado con redacción, mecánica automotriz, terapia física.","Redacción, Mecánica automotriz, Terapia Física",2025-01-26,Cerrado
8643,Mecánico automotriz,"Importante empresa solicita apoyo en el área de marketing digital, mecánica automotriz.","Marketing digital, Mecánica automotriz",2025-02-11,Cerrado
