habilidades,experiencia_lab,calificacion,nivel,profesion,ID,disponibilidad
"Instalaciones eléctricas, Atención al cliente, Contabilidad, Marketing digital, Inglés avanzado",8,3.0,Junior,Otro,9373,Medio tiempo
"Traducción, SEO, Contabilidad, Terapia Física, Mecánica automotriz",15,3.8,Junior,Otro,9374,Tiempo completo
"Carpintería, Ciencia de datos, Tramitología, JavaScript",1,3.1,Senior,Otro,9375,Medio tiempo
"Mecánica automotriz, Photoshop, Ciencia de datos, SEO",14,4.7,Senior,Otro,9376,Tiempo completo
"Traducción, Ventas, Contabilidad, Inglés avanzado, Illustrator",15,4.0,Senior,Otro,9377,Tiempo completo
"Photoshop, Mecánica automotriz, Soporte técnico, Administración, Tramitología",4,3.7,Senior,Otro,9378,Medio tiempo
"Soporte técnico, Marketing digital, Terapia Física, Photoshop",5,4.6,Medio,Otro,9379,Tiempo completo
"Inglés avanzado, Diseño gráfico, Mecánica automotriz, Contabilidad",9,4.1,Junior,Otro,9380,Tiempo completo
"Diseño UX/UI, SEO, Marketing digital, Instalaciones eléctricas, HTML",5,1.9,Medio,Otro,9381,Tiempo completo
"Ventas, Contabilidad, Traducción, Servicio al cliente",14,1.3,Junior,Otro,9382,Tiempo completo
"Diseño UX/UI, Redacción, Instalaciones eléctricas",6,4.5,Junior,Otro,9383,Tiempo completo
"Ventas, Contabilidad, Electricidad, Marketing digital",8,4.8,Junior,Licenciado,9384,Tiempo completo
"Carpintería, Programación en Java, SEO, Terapia Física",11,3.4,Senior,Otro,9385,Tiempo completo
"Ventas, Mecánica automotriz, Contabilidad",14,1.6,Senior,Otro,9386,Tiempo completo
"Mecánica automotriz, CSS, Contabilidad, Photoshop",7,4.9,Senior,Otro,9387,Medio tiempo
"SEO, Inglés avanzado, Photoshop",12,2.0,Senior,Licenciado,9388,Tiempo completo
"Contabilidad, Electricidad, Ciencia de datos, CSS",6,4.9,Medio,Otro,9389,Tiempo completo
"Mecánica automotriz, Redacción, HTML, Administración, Marketing digital",1,1.7,Junior,Otro,9390,Tiempo completo
"HTML, Instalaciones eléctricas, Diseño gráfico, Marketing digital, Servicio al cliente",18,1.7,Medio,Otro,9391,Medio tiempo
"Inglés avanzado, Instalaciones eléctricas, Tramitología, JavaScript, Servicio al cliente",3,1.3,Medio,Otro,9392,Tiempo completo
"Marketing digital, Illustrator, CSS, Contabilidad",2,1.4,Senior,Otro,9393,Tiempo completo
"Electricidad, Atención al cliente, Mecánica automotriz, Redacción, Terapia Física",17,2.1,Junior,Otro,9394,Medio tiempo
"CSS, Contabilidad, JavaScript, Marketing digital, Photoshop",16,4.5,Junior,Otro,9395,Medio tiempo
"Inglés avanzado, SEO, HTML, Instalaciones eléctricas",14,3.5,Junior,Ingeniero,9396,Tiempo completo
"Ventas, Mecánica automotriz, Marketing digital",3,1.7,Junior,Otro,9397,Medio tiempo
"Illustrator, Marketing digital, CSS, Servicio al cliente, Electricidad",15,3.7,Senior,Otro,9398,Tiempo completo
"Atención al cliente, Diseño UX/UI, Inglés avanzado, Programación en Java",17,4.1,Senior,Otro,9399,Medio tiempo
"SEO, Photoshop, Illustrator, Diseño UX/UI",1,2.2,Junior,Otro,9400,Medio tiempo
"Soporte técnico, Inglés avanzado, Mecánica automotriz, Python",8,2.4,Senior,Otro,9401,Tiempo completo
"Instalaciones eléctricas, CSS, Carpintería, Servicio al cliente",6,1.5,Junior,Otro,9402,Medio tiempo
"Soporte técnico, Terapia Física, Electricidad, Ventas, Marketing digital",2,1.4,Junior,Otro,9403,Medio tiempo
"Electricidad, Inglés avanzado, Traducción, CSS, Administración",15,3.2,Senior,Otro,9404,Tiempo completo
"Contabilidad, Traducción, Tramitología, Ciencia de datos, Marketing digital",2,4.3,Junior,Otro,9405,Tiempo completo
"HTML, Mecánica automotriz, Atención al cliente",7,4.2,Senior,Otro,9406,Medio tiempo
"Diseño gráfico, Marketing digital, Contabilidad",19,2.8,Medio,Otro,9407,Medio tiempo
"HTML, Ventas, Illustrator",15,4.1,Medio,Otro,9408,Medio tiempo
"Contabilidad, Python, Electricidad",1,1.1,Senior,Otro,9409,Medio tiempo
"Ventas, Programación en Java, Contabilidad, Illustrator, Mecánica automotriz",2,3.2,Senior,Otro,9410,Medio tiempo
"Terapia Física, Ventas, Electricidad, HTML",11,1.1,Junior,Otro,9411,Medio tiempo
"HTML, Marketing digital, Soporte técnico",17,4.0,Medio,Otro,9412,Medio tiempo
"Soporte técnico, Diseño UX/UI, Instalaciones eléctricas, Diseño gráfico, Administración",7,3.1,Senior,Otro,9413,Tiempo completo
"Diseño gráfico, Illustrator, Traducción, Carpintería, Administración",2,4.2,Medio,Otro,9414,Tiempo completo
"Mecánica automotriz, Programación en Java, Traducción, Atención al cliente",14,3.4,Senior,Otro,9415,Medio tiempo
"Mecánica automotriz, Ventas, Atención al cliente, Ciencia de datos, Diseño gráfico",15,4.9,Medio,Otro,9416,Tiempo completo
"Soporte técnico, Diseño UX/UI, Carpintería, Illustrator, Diseño gráfico",17,2.9,Medio,Otro,9417,Tiempo completo
"Redacción, Atención al cliente, Mecánica automotriz, Servicio al cliente",16,1.7,Senior,Otro,9418,Medio tiempo
"Programación en Java, CSS, Electricidad, JavaScript, Servicio al cliente",17,1.2,Medio,Otro,9419,Medio tiempo
"CSS, Traducción, Soporte técnico",17,1.7,Senior,Otro,9420,Tiempo completo
"SEO, Administración, Ciencia de datos, Redacción",10,3.2,Medio,Otro,9421,Medio tiempo
"Ventas, Tramitología, Ciencia de datos, JavaScript",18,2.6,Medio,Otro,9422,Tiempo completo
"Programación en Java, Tramitología, Marketing digital, Photoshop, Traducción",16,4.7,Junior,Otro,9423,Tiempo completo
"JavaScript, Ventas, Tramitología",12,2.3,Medio,Otro,9424,Tiempo completo
"Inglés avanzado, Instalaciones eléctricas, Traducción",4,4.4,Medio,Otro,9425,Tiempo completo
"SEO, Soporte técnico, Diseño gráfico",19,4.8,Medio,Otro,9426,Medio tiempo
"Inglés avanzado, CSS, Marketing digital, Python, Electricidad",14,4.1,Senior,Otro,9427,Tiempo completo
"Servicio al cliente, Redacción, Carpintería, Inglés avanzado, Terapia Física",3,1.8,Medio,Otro,9428,Tiempo completo
"Traducción, Illustrator, Ciencia de datos, Servicio al cliente",2,4.0,Junior,Otro,9429,Tiempo completo
"CSS, Diseño UX/UI, Ventas, JavaScript, SEO",1,3.2,Medio,Otro,9430,Medio tiempo
"JavaScript, Servicio al cliente, Ciencia de datos",12,2.7,Junior,Otro,9431,Medio tiempo
"Atención al cliente, Terapia Física, SEO",17,4.4,Junior,Licenciado,9432,Medio tiempo
"Ventas, Terapia Física, Marketing digital, HTML, Diseño gráfico",16,2.6,Medio,Otro,9433,Medio tiempo
"Python, Tramitología, Traducción, Marketing digital",15,3.4,Junior,Otro,9434,Tiempo completo
"Electricidad, Servicio al cliente, Ciencia de datos",10,2.8,Junior,Otro,9435,Tiempo completo
"Programación en Java, Marketing digital, Diseño gráfico",12,1.3,Medio,Otro,9436,Medio tiempo
"Python, CSS, Ventas, Redacción, Photoshop",12,3.8,Medio,Otro,9437,Tiempo completo
"HTML, Mecánica automotriz, Redacción, Servicio al cliente, Soporte técnico",1,3.0,Senior,Otro,9438,Tiempo completo
"SEO, Photoshop, Ciencia de datos",7,3.2,Senior,Otro,9439,Medio tiempo
"Terapia Física, Python, Traducción",12,2.4,Junior,Otro,9440,Tiempo completo
"Inglés avanzado, Marketing digital, Atención al cliente",6,1.1,Medio,Otro,9441,Tiempo completo
"Carpintería, Mecánica automotriz, Illustrator, Diseño gráfico",15,4.7,Medio,Otro,9442,Medio tiempo
"Diseño UX/UI, Mecánica automotriz, Servicio al cliente",5,3.2,Senior,Otro,9443,Medio tiempo
"Instalaciones eléctricas, Diseño gráfico, Administración, Ventas",17,1.2,Medio,Otro,9444,Medio tiempo
"Administración, Soporte técnico, Contabilidad",9,1.8,Junior,Otro,9445,Tiempo completo
"Photoshop, Administración, Tramitología",5,1.1,Medio,Otro,9446,Medio tiempo
"Photoshop, Electricidad, Ventas, Tramitología",15,2.3,Junior,Otro,9447,Medio tiempo
"Python, Ciencia de datos, SEO",16,3.4,Junior,Licenciado,9448,Tiempo completo
"CSS, Mecánica automotriz, SEO, Servicio al cliente",18,2.5,Medio,Otro,9449,Tiempo completo
"JavaScript, Soporte técnico, Contabilidad, Servicio al cliente",11,4.9,Junior,Otro,9450,Medio tiempo
"Illustrator, JavaScript, CSS",9,2.3,Junior,Otro,9451,Tiempo completo
"JavaScript, Mecánica automotriz, SEO",3,1.6,Medio,Otro,9452,Tiempo completo
"Photoshop, CSS, Ventas, Programación en Java",15,2.3,Junior,Otro,9453,Medio tiempo
"Servicio al cliente, Tramitología, Atención al cliente, Programación en Java",19,1.5,Medio,Otro,9454,Tiempo completo
"Illustrator, Tramitología, Terapia Física",19,4.9,Junior,Ingeniero,9455,Medio tiempo
"Terapia Física, Tramitología, Ciencia de datos, Instalaciones eléctricas, Diseño gráfico",3,2.8,Junior,Otro,9456,Tiempo completo
"Photoshop, HTML, Redacción",12,2.6,Senior,Otro,9457,Tiempo completo
"Carpintería, Traducción, Python, Ventas",18,3.4,Senior,Otro,9458,Tiempo completo
"Carpintería, Python, Ventas, Illustrator, Programación en Java",10,2.6,Senior,Otro,9459,Medio tiempo
"Inglés avanzado, Ciencia de datos, CSS, Atención al cliente",2,3.2,Senior,Otro,9460,Medio tiempo
"Redacción, Marketing digital, HTML",15,3.4,Medio,Otro,9461,Tiempo completo
"Contabilidad, Mecánica automotriz, Inglés avanzado",20,2.5,Junior,Otro,9462,Medio tiempo
"Diseño gráfico, Python, Marketing digital",14,2.7,Junior,Otro,9463,Medio tiempo
"JavaScript, Redacción, Traducción, Ciencia de datos",9,3.5,Junior,Otro,9464,Medio tiempo
"SEO, Instalaciones eléctricas, Inglés avanzado",3,3.3,Medio,Ingeniero,9465,Medio tiempo
"JavaScript, Illustrator, Diseño gráfico, HTML",8,3.3,Junior,Otro,9466,Tiempo completo
"Redacción, Carpintería, Terapia Física",13,3.1,Medio,Otro,9467,Medio tiempo
"CSS, Marketing digital, Redacción",1,3.5,Medio,Otro,9468,Medio tiempo
"Redacción, Instalaciones eléctricas, Photoshop, HTML, Carpintería",11,1.3,Medio,Licenciado,9469,Tiempo completo
"Marketing digital, Carpintería, Tramitología",15,2.8,Medio,Otro,9470,Medio tiempo
"Administración, SEO, Tramitología, JavaScript",2,3.0,Senior,Otro,9471,Tiempo completo
"Soporte técnico, Carpintería, Traducción",5,2.2,Medio,Otro,9472,Tiempo completo
"Programación en Java, Servicio al cliente, Electricidad, Inglés avanzado",14,4.9,Junior,Otro,9473,Medio tiempo
"Atención al cliente, Diseño gráfico, Instalaciones eléctricas, Contabilidad, Ventas",4,2.0,Senior,Otro,9474,Medio tiempo
"Ciencia de datos, Electricidad, Traducción, Terapia Física",13,3.7,Junior,Ingeniero,9475,Medio tiempo
"Electricidad, SEO, Tramitología",9,3.3,Medio,Otro,9476,Tiempo completo
"Programación en Java, Diseño gráfico, JavaScript, Marketing digital, Inglés avanzado",5,4.2,Senior,Otro,9477,Medio tiempo
"Carpintería, Marketing digital, Redacción",2,2.3,Senior,Otro,9478,Tiempo completo
"Contabilidad, Tramitología, Carpintería, Diseño UX/UI",17,2.0,Junior,Otro,9479,Tiempo completo
"Ciencia de datos, Marketing digital, Atención al cliente, HTML, SEO",8,4.1,Medio,Otro,9480,Medio tiempo
"Administración, Photoshop, SEO",17,2.7,Junior,Otro,9481,Medio tiempo
"Diseño UX/UI, Marketing digital, Python, Atención al cliente",17,2.3,Junior,Otro,9482,Medio tiempo
"Mecánica automotriz, Traducción, Inglés avanzado, Illustrator, Atención al cliente",19,4.9,Senior,Otro,9483,Medio tiempo
"Administración, HTML, Marketing digital",11,4.9,Medio,Ingeniero,9484,Tiempo completo
"Diseño UX/UI, Carpintería, JavaScript, Terapia Física, Inglés avanzado",3,1.6,Medio,Otro,9485,Tiempo completo
"Servicio al cliente, Tramitología, HTML",12,2.6,Senior,Otro,9486,Medio tiempo
"Photoshop, Inglés avanzado, Diseño UX/UI, Python",11,4.9,Medio,Otro,9487,Tiempo completo
"Diseño gráfico, Servicio al cliente, Soporte técnico, Mecánica automotriz",5,4.5,Senior,Otro,9488,Tiempo completo
"Ciencia de datos, JavaScript, Diseño gráfico, SEO, Terapia Física",17,3.8,Senior,Otro,9489,Medio tiempo
"Photoshop, Contabilidad, Servicio al cliente, Electricidad, Traducción",6,3.6,Junior,Otro,9490,Medio tiempo
"Diseño UX/UI, Diseño gráfico, Python, CSS",1,2.2,Junior,Otro,9491,Medio tiempo
"Redacción, CSS, JavaScript",15,1.1,Junior,Otro,9492,Medio tiempo
"Tramitología, Soporte técnico, Instalaciones eléctricas",7,3.4,Medio,Otro,9493,Tiempo completo
"Carpintería, Instalaciones eléctricas, Programación en Java",12,1.7,Medio,Otro,9494,Tiempo completo
"Python, Marketing digital, Ciencia de datos, Administración",20,3.9,Senior,Licenciado,9495,Tiempo completo
"Traducción, Instalaciones eléctricas, Programación en Java, Redacción, Ciencia de datos",15,4.6,Junior,Otro,9496,Medio tiempo
"Administración, HTML, Diseño UX/UI",6,3.5,Senior,Otro,9497,Tiempo completo
"Python, Programación en Java, JavaScript",2,2.5,Junior,Otro,9498,Medio tiempo
"Marketing digital, Programación en Java, Instalaciones eléctricas, Mecánica automotriz, Contabilidad",20,2.8,Medio,Otro,9499,Tiempo completo
"Electricidad, Contabilidad, Ventas, Terapia Física",16,1.1,Medio,Otro,9500,Tiempo completo
"Servicio al cliente, Diseño UX/UI, Electricidad, Photoshop, Diseño gráfico",7,2.9,Medio,Otro,9501,Medio tiempo
"Instalaciones eléctricas, Marketing digital, SEO, Diseño UX/UI, Servicio al cliente",1,3.5,Senior,Otro,9502,Medio tiempo
"Administración, Photoshop, HTML",17,2.0,Medio,Otro,9503,Tiempo completo
"Diseño gráfico, Inglés avanzado, Contabilidad, Redacción, Illustrator",1,1.6,Junior,Licenciado,9504,Tiempo completo
"SEO, Diseño UX/UI, Administración, Illustrator",5,2.0,Junior,Otro,9505,Medio tiempo
"Python, Administración, Diseño UX/UI, Programación en Java, Mecánica automotriz",6,4.0,Medio,Otro,9506,Medio tiempo
"Diseño UX/UI, Soporte técnico, Tramitología",9,2.2,Junior,Otro,9507,Tiempo completo
"Inglés avanzado, Ventas, JavaScript, CSS, Instalaciones eléctricas",11,1.2,Junior,Otro,9508,Tiempo completo
"Traducción, Diseño UX/UI, Diseño gráfico, JavaScript",2,4.3,Junior,Otro,9509,Medio tiempo
"Photoshop, CSS, Illustrator, Python",7,2.2,Junior,Ingeniero,9510,Medio tiempo
"Ventas, Ciencia de datos, Photoshop",19,1.3,Junior,Otro,9511,Medio tiempo
"Traducción, Ciencia de datos, SEO, Terapia Física",12,1.5,Junior,Otro,9512,Tiempo completo
"Carpintería, Instalaciones eléctricas, Administración, Ciencia de datos, Terapia Física",17,2.6,Senior,Otro,9513,Tiempo completo
"Ciencia de datos, CSS, Photoshop, Programación en Java, Ventas",8,4.7,Senior,Ingeniero,9514,Medio tiempo
"Marketing digital, Soporte técnico, SEO, Traducción, Photoshop",18,3.5,Medio,Otro,9515,Tiempo completo
"Atención al cliente, Electricidad, Terapia Física, Diseño gráfico, Servicio al cliente",7,4.8,Medio,Otro,9516,Tiempo completo
"Soporte técnico, Administración, Traducción",18,1.2,Junior,Ingeniero,9517,Tiempo completo
"Python, HTML, JavaScript",2,2.2,Senior,Otro,9518,Medio tiempo
"Illustrator, CSS, HTML, Electricidad",4,1.3,Junior,Otro,9519,Medio tiempo
"Ventas, Tramitología, Marketing digital",1,4.2,Senior,Otro,9520,Tiempo completo
"Servicio al cliente, Tramitología, Ventas, Traducción, Instalaciones eléctricas",6,3.9,Junior,Otro,9521,Tiempo completo
"Diseño gráfico, Redacción, Ventas, Carpintería, Servicio al cliente",10,1.8,Senior,Otro,9522,Medio tiempo
"Inglés avanzado, Carpintería, Electricidad, Administración",19,2.9,Medio,Otro,9523,Medio tiempo
"Traducción, Diseño UX/UI, Ciencia de datos, Marketing digital, Illustrator",8,3.4,Junior,Otro,9524,Medio tiempo
"Servicio al cliente, Traducción, CSS, Programación en Java, Carpintería",12,3.2,Medio,Otro,9525,Tiempo completo
"HTML, Contabilidad, Administración, Marketing digital, Carpintería",2,4.6,Medio,Otro,9526,Medio tiempo
"Photoshop, Marketing digital, Contabilidad, Diseño gráfico",19,4.6,Senior,Otro,9527,Tiempo completo
"SEO, Atención al cliente, Mecánica automotriz, Administración, HTML",12,1.5,Medio,Ingeniero,9528,Tiempo completo
"Mecánica automotriz, Photoshop, Marketing digital, Inglés avanzado, Diseño gráfico",7,1.6,Junior,Otro,9529,Tiempo completo
"CSS, Servicio al cliente, HTML, Contabilidad, Inglés avanzado",16,2.5,Senior,Otro,9530,Medio tiempo
"Contabilidad, JavaScript, Instalaciones eléctricas",15,4.9,Junior,Otro,9531,Medio tiempo
"Servicio al cliente, JavaScript, CSS",14,3.1,Senior,Otro,9532,Medio tiempo
"Contabilidad, Photoshop, Diseño UX/UI, Carpintería",9,3.2,Junior,Otro,9533,Medio tiempo
"HTML, Servicio al cliente, Ciencia de datos",18,4.1,Medio,Otro,9534,Medio tiempo
"SEO, Redacción, Diseño gráfico",16,3.4,Medio,Otro,9535,Tiempo completo
"Redacción, Python, JavaScript, Photoshop, Administración",8,2.2,Junior,Otro,9536,Medio tiempo
"Ciencia de datos, Photoshop, Diseño UX/UI",18,3.8,Medio,Otro,9537,Tiempo completo
"Servicio al cliente, Contabilidad, Tramitología, Redacción",4,2.7,Junior,Otro,9538,Medio tiempo
"Atención al cliente, Administración, CSS",10,1.1,Junior,Otro,9539,Medio tiempo
"Atención al cliente, Administración, Ciencia de datos, Terapia Física",4,4.0,Medio,Ingeniero,9540,Tiempo completo
"Electricidad, Ventas, Diseño gráfico",5,1.4,Senior,Otro,9541,Medio tiempo
"SEO, Electricidad, Contabilidad",8,2.0,Junior,Otro,9542,Tiempo completo
"Traducción, HTML, Servicio al cliente, SEO, Python",8,3.6,Junior,Otro,9543,Tiempo completo
"SEO, Soporte técnico, Servicio al cliente",3,1.9,Senior,Ingeniero,9544,Tiempo completo
"Photoshop, Diseño UX/UI, Tramitología, Electricidad",10,2.8,Senior,Otro,9545,Tiempo completo
"Diseño UX/UI, Ventas, Tramitología, SEO, Photoshop",5,3.1,Medio,Otro,9546,Tiempo completo
"Contabilidad, Diseño gráfico, Python, Ciencia de datos, Terapia Física",18,3.3,Junior,Otro,9547,Medio tiempo
"Ciencia de datos, JavaScript, Python",16,3.9,Senior,Ingeniero,9548,Tiempo completo
"Instalaciones eléctricas, Photoshop, Inglés avanzado, Ciencia de datos",18,1.0,Senior,Otro,9549,Tiempo completo
"Python, Diseño UX/UI, Tramitología",11,4.1,Medio,Otro,9550,Tiempo completo
"Electricidad, Carpintería, CSS, Marketing digital, Terapia Física",10,3.1,Medio,Otro,9551,Tiempo completo
"Carpintería, CSS, Inglés avanzado, JavaScript, Instalaciones eléctricas",1,1.4,Senior,Otro,9552,Medio tiempo
"CSS, Soporte técnico, Atención al cliente",13,2.1,Senior,Otro,9553,Medio tiempo
"Terapia Física, Ciencia de datos, Tramitología, Carpintería",19,3.7,Junior,Otro,9554,Tiempo completo
"Atención al cliente, Marketing digital, Diseño UX/UI, HTML, Ventas",14,4.1,Junior,Otro,9555,Medio tiempo
"Python, Diseño gráfico, Electricidad, Instalaciones eléctricas",10,2.6,Junior,Otro,9556,Medio tiempo
"Servicio al cliente, Administración, Terapia Física",16,3.0,Junior,Otro,9557,Medio tiempo
"Administración, Terapia Física, Contabilidad, Diseño UX/UI, Diseño gráfico",15,2.8,Junior,Otro,9558,Medio tiempo
"CSS, Diseño UX/UI, Traducción",20,1.9,Medio,Otro,9559,Medio tiempo
"Marketing digital, Redacción, Ciencia de datos, Illustrator, JavaScript",19,4.5,Medio,Otro,9560,Medio tiempo
"Marketing digital, HTML, CSS, SEO",4,1.3,Senior,Otro,9561,Tiempo completo
"Administración, Inglés avanzado, Terapia Física, HTML",18,1.3,Medio,Otro,9562,Tiempo completo
"Mecánica automotriz, Diseño gráfico, JavaScript, Tramitología",1,4.5,Medio,Otro,9563,Medio tiempo
"Illustrator, Contabilidad, Carpintería, Inglés avanzado, Programación en Java",17,3.8,Senior,Otro,9564,Medio tiempo
"Diseño gráfico, Diseño UX/UI, Contabilidad, Instalaciones eléctricas",5,2.2,Junior,Licenciado,9565,Tiempo completo
"Marketing digital, Diseño gráfico, HTML",9,3.7,Medio,Otro,9566,Medio tiempo
"JavaScript, HTML, Marketing digital, Inglés avanzado, Servicio al cliente",15,4.0,Senior,Otro,9567,Tiempo completo
"Redacción, Ventas, CSS, JavaScript",20,2.1,Medio,Otro,9568,Medio tiempo
"HTML, Terapia Física, Traducción, Instalaciones eléctricas, Python",18,3.6,Junior,Otro,9569,Medio tiempo
"Programación en Java, Administración, Python, Inglés avanzado",20,4.2,Medio,Otro,9570,Medio tiempo
"Diseño gráfico, JavaScript, Terapia Física, Programación en Java, Servicio al cliente",14,1.7,Senior,Ingeniero,9571,Tiempo completo
"Inglés avanzado, CSS, Administración, Electricidad",14,4.4,Senior,Otro,9572,Medio tiempo
"Photoshop, Diseño gráfico, Illustrator, Administración",10,2.5,Medio,Otro,9573,Medio tiempo
"Tramitología, Instalaciones eléctricas, CSS, Atención al cliente",19,2.2,Medio,Otro,9574,Tiempo completo
"Terapia Física, Mecánica automotriz, Servicio al cliente",19,1.1,Senior,Ingeniero,9575,Tiempo completo
"Marketing digital, CSS, Ciencia de datos, HTML, Redacción",15,4.6,Senior,Otro,9576,Medio tiempo
"Diseño UX/UI, Mecánica automotriz, Carpintería",10,1.8,Medio,Otro,9577,Medio tiempo
"Traducción, Tramitología, Carpintería",11,1.1,Junior,Otro,9578,Tiempo completo
"Ciencia de datos, HTML, Carpintería, Electricidad, Programación en Java",15,2.7,Medio,Otro,9579,Medio tiempo
"HTML, Traducción, Redacción, CSS, Terapia Física",4,5.0,Senior,Licenciado,9580,Tiempo completo
"Electricidad, Redacción, Ventas",3,2.2,Senior,Otro,9581,Medio tiempo
"Illustrator, Traducción, Contabilidad, Programación en Java",17,3.9,Junior,Otro,9582,Medio tiempo
"SEO, Tramitología, Python, Atención al cliente",1,1.1,Junior,Otro,9583,Medio tiempo
"CSS, Servicio al cliente, Electricidad, Traducción, Redacción",16,3.5,Junior,Licenciado,9584,Tiempo completo
"Administración, Illustrator, Servicio al cliente, CSS, JavaScript",3,4.5,Medio,Otro,9585,Tiempo completo
"Traducción, Instalaciones eléctricas, Mecánica automotriz, CSS, Photoshop",15,3.4,Medio,Otro,9586,Tiempo completo
"Programación en Java, Inglés avanzado, Administración",13,4.9,Medio,Otro,9587,Medio tiempo
"Electricidad, JavaScript, Photoshop, Instalaciones eléctricas, Traducción",3,3.1,Senior,Otro,9588,Tiempo completo
"Carpintería, SEO, JavaScript",13,2.0,Junior,Otro,9589,Medio tiempo
"Atención al cliente, SEO, Redacción",2,3.0,Junior,Otro,9590,Medio tiempo
"Inglés avanzado, Photoshop, Atención al cliente, Python",17,3.4,Senior,Otro,9591,Medio tiempo
"Mecánica automotriz, Illustrator, SEO, Diseño gráfico",18,4.6,Junior,Otro,9592,Medio tiempo
"Atención al cliente, Mecánica automotriz, Servicio al cliente, Administración",5,3.3,Senior,Otro,9593,Medio tiempo
"Illustrator, Ventas, Programación en Java",6,4.8,Senior,Otro,9594,Medio tiempo
"Diseño UX/UI, Diseño gráfico, Instalaciones eléctricas, Ventas, Atención al cliente",19,4.4,Medio,Otro,9595,Medio tiempo
"Diseño gráfico, Electricidad, Contabilidad",3,2.1,Senior,Otro,9596,Medio tiempo
"Programación en Java, Soporte técnico, Traducción, Carpintería",19,3.9,Junior,Otro,9597,Medio tiempo
"Soporte técnico, Instalaciones eléctricas, JavaScript, CSS",15,3.9,Junior,Otro,9598,Medio tiempo
"Ciencia de datos, Programación en Java, JavaScript, Instalaciones eléctricas, Administración",5,3.8,Senior,Otro,9599,Tiempo completo
"Instalaciones eléctricas, HTML, Programación en Java, Photoshop",19,4.4,Junior,Otro,9600,Medio tiempo
"Programación en Java, Electricidad, Diseño gráfico",8,3.6,Senior,Otro,9601,Tiempo completo
"Soporte técnico, Mecánica automotriz, Atención al cliente, Python, Servicio al cliente",12,3.8,Medio,Otro,9602,Tiempo completo
"SEO, Redacción, Tramitología, Programación en Java",7,4.9,Medio,Otro,9603,Tiempo completo
"Ventas, CSS, Terapia Física, Photoshop, Carpintería",5,1.0,Senior,Licenciado,9604,Medio tiempo
"Soporte técnico, CSS, Diseño gráfico",6,3.4,Senior,Otro,9605,Tiempo completo
"Soporte técnico, Diseño gráfico, CSS",5,1.5,Medio,Otro,9606,Tiempo completo
"Terapia Física, Soporte técnico, Diseño gráfico, Programación en Java, Photoshop",8,1.7,Senior,Otro,9607,Tiempo completo
"CSS, Atención al cliente, Carpintería, Inglés avanzado",5,3.1,Medio,Otro,9608,Medio tiempo
"Programación en Java, Terapia Física, Soporte técnico, Administración, Carpintería",16,4.9,Medio,Otro,9609,Medio tiempo
"Carpintería, Contabilidad, Mecánica automotriz, Atención al cliente",7,1.5,Senior,Otro,9610,Medio tiempo
"JavaScript, Marketing digital, Mecánica automotriz, Carpintería",12,4.1,Medio,Otro,9611,Tiempo completo
"Electricidad, Inglés avanzado, Instalaciones eléctricas",14,4.8,Medio,Otro,9612,Tiempo completo
"HTML, Ventas, Contabilidad, Marketing digital, Atención al cliente",3,3.7,Senior,Otro,9613,Tiempo completo
"Inglés avanzado, Instalaciones eléctricas, Administración, Redacción",13,2.2,Junior,Otro,9614,Medio tiempo
"SEO, Servicio al cliente, JavaScript",11,1.2,Senior,Otro,9615,Tiempo completo
"HTML, Ciencia de datos, Servicio al cliente, JavaScript, Marketing digital",15,1.3,Junior,Otro,9616,Medio tiempo
"Contabilidad, Tramitología, Redacción",10,3.2,Junior,Otro,9617,Tiempo completo
"HTML, SEO, Administración",17,2.8,Senior,Otro,9618,Medio tiempo
"JavaScript, Diseño gráfico, Inglés avanzado, HTML",12,3.2,Senior,Otro,9619,Tiempo completo
"Servicio al cliente, Atención al cliente, Mecánica automotriz, Python",11,1.4,Senior,Otro,9620,Tiempo completo
"Electricidad, Diseño UX/UI, Tramitología, Servicio al cliente",4,4.1,Junior,Otro,9621,Medio tiempo
"Diseño gráfico, Tramitología, Traducción",10,1.7,Medio,Otro,9622,Tiempo completo
"Tramitología, Instalaciones eléctricas, Contabilidad",9,4.4,Junior,Otro,9623,Tiempo completo
"JavaScript, Redacción, Tramitología, HTML, Instalaciones eléctricas",7,3.0,Senior,Otro,9624,Tiempo completo
"Mecánica automotriz, Ciencia de datos, SEO",20,4.6,Junior,Otro,9625,Tiempo completo
"Terapia Física, Instalaciones eléctricas, Redacción, Ciencia de datos",14,4.8,Junior,Otro,9626,Medio tiempo
"Servicio al cliente, Administración, SEO",17,2.5,Medio,Otro,9627,Tiempo completo
"Ciencia de datos, Python, HTML, Tramitología, Illustrator",19,2.6,Senior,Otro,9628,Tiempo completo
"JavaScript, Illustrator, Programación en Java, Administración, Carpintería",4,3.5,Medio,Ingeniero,9629,Medio tiempo
"Electricidad, Diseño gráfico, Ciencia de datos, Traducción, Photoshop",2,3.5,Junior,Otro,9630,Tiempo completo
"Tramitología, Contabilidad, Redacción, Photoshop, Illustrator",19,1.1,Junior,Otro,9631,Tiempo completo
"SEO, Ciencia de datos, Carpintería",19,3.9,Junior,Otro,9632,Tiempo completo
"HTML, Ciencia de datos, Inglés avanzado, Terapia Física, Ventas",7,1.8,Senior,Otro,9633,Tiempo completo
"Servicio al cliente, Redacción, Carpintería",6,1.6,Senior,Otro,9634,Tiempo completo
